# x (cm)     y (nW)       yerr
0.00000   0.587263   0.0883186
0.50000   0.382128   0.0394351
1.00000   0.826145   0.204373
1.50000   1.03167    0.359559
2.00000   1.47743    0.167836
2.50000   3.77918    0.276972
3.00000   3.06622    0.369936
3.50000   4.68281    0.161404
4.00000   3.99644    0.0999516
4.50000   4.99406    0.0930126
5.00000   2.80847    0.28661
5.50000   3.56022    0.136546
6.00000   1.43621    0.10514
6.50000   0.880076   0.0558054
7.00000   1.19071    0.175822
7.50000   0.464716   0.220785
8.00000   1.56315    0.273565
8.50000   0.537052   0.387254
9.00000   0.679258   0.221064
9.50000   1.9665     0.39014
10.0000   0.893935   0.0391223
